player_code,name,position,salary,ppg,rpg,apg,rings,defensiveranking
1,Michael Jordan,sg,5,30.1,6.2,5.3,6,4
2,Kobe Bryant,sg,4,25.0,5.2,4.7,5,4
3,Allen Iverson,sg,3,26.7,3.7,6.2,0,2
4,Elgin Baylor,sg,2,27.4,13.5,4.3,0,2
5,Dwayne Wade,sg,1,22.0,4.7,5.4,3,3
6,Tim Duncan,pf,5,19.0,10.8,3.0,5,5
7,Giannas Atentukumpo,pf,4,21.4,9.2,4.6,1,5
8,Charles Barkley,pf,3,22.1,11.7,3.9,0,3
9,Karl Malone,pf,2,25.0,10.1,3.6,0,3
10,Kevin Garnett,pf,1,17.8,10.0,3.7,1,5
11,Lebron James,sf,5,27.0,7.4,7.4,4,4
12,Kevin Durant,sf,4,27.1,7.1,4.2,2,3
13,Larry Bird,sf,3,24.0,10.0,6.3,3,2
14,Scottie Pippen,sf,2,16.1,6.4,5.2,6,5
15,James Worthy,sf,1,17.6,5.1,3.0,4,3
16,Kareem Abdul-Jabar,c,5,24.6,11.2,3.6,5,5
17,Wilt Chamberlin,c,4,30.1,22.9,4.4,2,5 
18,Shaquille ONeal,c,3,23.7,10.9,2.5,4,3
19,Bill Russell,c,2,15.1,22.5,4.3,11,5
20,Hakeem Olajuwon,c,1,21.8,11.1,2.5,2,5
21,Magic Johnson,pg,5,19.5,7.2,11.2,5,2
22,Steph Curry,pg,4,26.3,5.4,6.0,3,2
23,Isiah Thomas,pg,3,19.2,3.6,9.3,2,2
24,John Stockton,pg,2,13.1,2.7,10.5,0,3
25,Trey Young,pg,1,24.7,3.9,8.9,0,1
